ordinal,anonymized_packet_key,real_packet_id,instance_id,system_id,annotation_origin,source_template_id
99,ag_099,greedy_coin_change_canonical_004__naive_concat_v1,greedy_coin_change_canonical_004,naive_concat_v1,direct_adjudicated,greedy_coin_change_canonical_001
100,ag_100,greedy_coin_change_canonical_004__full_method_v1,greedy_coin_change_canonical_004,full_method_v1,mapped_from_canonical,greedy_coin_change_canonical_001
101,ag_101,greedy_coin_change_canonical_005__text_only_v1,greedy_coin_change_canonical_005,text_only_v1,direct_adjudicated,greedy_coin_change_canonical_002
102,ag_102,greedy_coin_change_canonical_005__code_only_v1,greedy_coin_change_canonical_005,code_only_v1,direct_adjudicated,greedy_coin_change_canonical_002
103,ag_103,greedy_coin_change_canonical_005__naive_concat_v1,greedy_coin_change_canonical_005,naive_concat_v1,direct_adjudicated,greedy_coin_change_canonical_002
104,ag_104,greedy_coin_change_canonical_005__full_method_v1,greedy_coin_change_canonical_005,full_method_v1,direct_adjudicated,greedy_coin_change_canonical_002
105,ag_105,greedy_coin_change_canonical_006__text_only_v1,greedy_coin_change_canonical_006,text_only_v1,direct_adjudicated,greedy_coin_change_canonical_001
106,ag_106,greedy_coin_change_canonical_006__code_only_v1,greedy_coin_change_canonical_006,code_only_v1,mapped_from_canonical,greedy_coin_change_canonical_001
107,ag_107,greedy_coin_change_canonical_006__naive_concat_v1,greedy_coin_change_canonical_006,naive_concat_v1,direct_adjudicated,greedy_coin_change_canonical_001
108,ag_108,greedy_coin_change_canonical_006__full_method_v1,greedy_coin_change_canonical_006,full_method_v1,mapped_from_canonical,greedy_coin_change_canonical_001
109,ag_109,greedy_coin_change_canonical_007__text_only_v1,greedy_coin_change_canonical_007,text_only_v1,direct_adjudicated,greedy_coin_change_canonical_002
110,ag_110,greedy_coin_change_canonical_007__code_only_v1,greedy_coin_change_canonical_007,code_only_v1,mapped_from_canonical,greedy_coin_change_canonical_002
111,ag_111,greedy_coin_change_canonical_007__naive_concat_v1,greedy_coin_change_canonical_007,naive_concat_v1,direct_adjudicated,greedy_coin_change_canonical_002
112,ag_112,greedy_coin_change_canonical_007__full_method_v1,greedy_coin_change_canonical_007,full_method_v1,mapped_from_canonical,greedy_coin_change_canonical_002
113,ag_113,greedy_interval_scheduling_004__text_only_v1,greedy_interval_scheduling_004,text_only_v1,direct_adjudicated,greedy_interval_scheduling_001
114,ag_114,greedy_interval_scheduling_004__code_only_v1,greedy_interval_scheduling_004,code_only_v1,direct_adjudicated,greedy_interval_scheduling_001
115,ag_115,greedy_interval_scheduling_004__naive_concat_v1,greedy_interval_scheduling_004,naive_concat_v1,mapped_from_canonical,greedy_interval_scheduling_001
116,ag_116,greedy_interval_scheduling_004__full_method_v1,greedy_interval_scheduling_004,full_method_v1,mapped_from_canonical,greedy_interval_scheduling_001
117,ag_117,greedy_interval_scheduling_005__text_only_v1,greedy_interval_scheduling_005,text_only_v1,direct_adjudicated,greedy_interval_scheduling_002
118,ag_118,greedy_interval_scheduling_005__code_only_v1,greedy_interval_scheduling_005,code_only_v1,direct_adjudicated,greedy_interval_scheduling_002
119,ag_119,greedy_interval_scheduling_005__naive_concat_v1,greedy_interval_scheduling_005,naive_concat_v1,direct_adjudicated,greedy_interval_scheduling_002
120,ag_120,greedy_interval_scheduling_005__full_method_v1,greedy_interval_scheduling_005,full_method_v1,direct_adjudicated,greedy_interval_scheduling_002
121,ag_121,greedy_interval_scheduling_006__text_only_v1,greedy_interval_scheduling_006,text_only_v1,direct_adjudicated,greedy_interval_scheduling_001
122,ag_122,greedy_interval_scheduling_006__code_only_v1,greedy_interval_scheduling_006,code_only_v1,direct_adjudicated,greedy_interval_scheduling_001
123,ag_123,greedy_interval_scheduling_006__naive_concat_v1,greedy_interval_scheduling_006,naive_concat_v1,mapped_from_canonical,greedy_interval_scheduling_001
124,ag_124,greedy_interval_scheduling_006__full_method_v1,greedy_interval_scheduling_006,full_method_v1,mapped_from_canonical,greedy_interval_scheduling_001
125,ag_125,greedy_interval_scheduling_007__text_only_v1,greedy_interval_scheduling_007,text_only_v1,direct_adjudicated,greedy_interval_scheduling_002
126,ag_126,greedy_interval_scheduling_007__code_only_v1,greedy_interval_scheduling_007,code_only_v1,direct_adjudicated,greedy_interval_scheduling_002
127,ag_127,greedy_interval_scheduling_007__naive_concat_v1,greedy_interval_scheduling_007,naive_concat_v1,direct_adjudicated,greedy_interval_scheduling_002
128,ag_128,greedy_interval_scheduling_007__full_method_v1,greedy_interval_scheduling_007,full_method_v1,mapped_from_canonical,greedy_interval_scheduling_002
129,ag_129,sorting_insertion_sort_004__text_only_v1,sorting_insertion_sort_004,text_only_v1,direct_adjudicated,sorting_insertion_sort_002
130,ag_130,sorting_insertion_sort_004__code_only_v1,sorting_insertion_sort_004,code_only_v1,direct_adjudicated,sorting_insertion_sort_001
131,ag_131,sorting_insertion_sort_004__naive_concat_v1,sorting_insertion_sort_004,naive_concat_v1,direct_adjudicated,sorting_insertion_sort_001
132,ag_132,sorting_insertion_sort_004__full_method_v1,sorting_insertion_sort_004,full_method_v1,direct_adjudicated,sorting_insertion_sort_001
133,ag_133,sorting_insertion_sort_005__text_only_v1,sorting_insertion_sort_005,text_only_v1,direct_adjudicated,sorting_insertion_sort_002
134,ag_134,sorting_insertion_sort_005__code_only_v1,sorting_insertion_sort_005,code_only_v1,mapped_from_canonical,sorting_insertion_sort_002
135,ag_135,sorting_insertion_sort_005__naive_concat_v1,sorting_insertion_sort_005,naive_concat_v1,direct_adjudicated,sorting_insertion_sort_002
136,ag_136,sorting_insertion_sort_005__full_method_v1,sorting_insertion_sort_005,full_method_v1,mapped_from_canonical,sorting_insertion_sort_002
137,ag_137,sorting_insertion_sort_006__text_only_v1,sorting_insertion_sort_006,text_only_v1,direct_adjudicated,sorting_insertion_sort_002
138,ag_138,sorting_insertion_sort_006__code_only_v1,sorting_insertion_sort_006,code_only_v1,mapped_from_canonical,sorting_insertion_sort_001
139,ag_139,sorting_insertion_sort_006__naive_concat_v1,sorting_insertion_sort_006,naive_concat_v1,direct_adjudicated,sorting_insertion_sort_001
140,ag_140,sorting_insertion_sort_006__full_method_v1,sorting_insertion_sort_006,full_method_v1,mapped_from_canonical,sorting_insertion_sort_001
141,ag_141,sorting_insertion_sort_007__text_only_v1,sorting_insertion_sort_007,text_only_v1,direct_adjudicated,sorting_insertion_sort_002
142,ag_142,sorting_insertion_sort_007__code_only_v1,sorting_insertion_sort_007,code_only_v1,mapped_from_canonical,sorting_insertion_sort_002
143,ag_143,sorting_insertion_sort_007__naive_concat_v1,sorting_insertion_sort_007,naive_concat_v1,direct_adjudicated,sorting_insertion_sort_002
144,ag_144,sorting_insertion_sort_007__full_method_v1,sorting_insertion_sort_007,full_method_v1,mapped_from_canonical,sorting_insertion_sort_002
145,ag_145,sorting_merge_sort_004__text_only_v1,sorting_merge_sort_004,text_only_v1,direct_adjudicated,sorting_merge_sort_001
146,ag_146,sorting_merge_sort_004__code_only_v1,sorting_merge_sort_004,code_only_v1,direct_adjudicated,sorting_merge_sort_001
147,ag_147,sorting_merge_sort_004__naive_concat_v1,sorting_merge_sort_004,naive_concat_v1,direct_adjudicated,sorting_merge_sort_001
148,ag_148,sorting_merge_sort_004__full_method_v1,sorting_merge_sort_004,full_method_v1,direct_adjudicated,sorting_merge_sort_001
149,ag_149,sorting_merge_sort_005__text_only_v1,sorting_merge_sort_005,text_only_v1,direct_adjudicated,sorting_merge_sort_002
150,ag_150,sorting_merge_sort_005__code_only_v1,sorting_merge_sort_005,code_only_v1,direct_adjudicated,sorting_merge_sort_002
151,ag_151,sorting_merge_sort_005__naive_concat_v1,sorting_merge_sort_005,naive_concat_v1,direct_adjudicated,sorting_merge_sort_002
152,ag_152,sorting_merge_sort_005__full_method_v1,sorting_merge_sort_005,full_method_v1,mapped_from_canonical,sorting_merge_sort_002
153,ag_153,sorting_merge_sort_006__text_only_v1,sorting_merge_sort_006,text_only_v1,direct_adjudicated,sorting_merge_sort_001
154,ag_154,sorting_merge_sort_006__code_only_v1,sorting_merge_sort_006,code_only_v1,mapped_from_canonical,sorting_merge_sort_001
155,ag_155,sorting_merge_sort_006__naive_concat_v1,sorting_merge_sort_006,naive_concat_v1,mapped_from_canonical,sorting_merge_sort_001
156,ag_156,sorting_merge_sort_006__full_method_v1,sorting_merge_sort_006,full_method_v1,mapped_from_canonical,sorting_merge_sort_001
157,ag_157,sorting_merge_sort_007__text_only_v1,sorting_merge_sort_007,text_only_v1,direct_adjudicated,sorting_merge_sort_002
158,ag_158,sorting_merge_sort_007__code_only_v1,sorting_merge_sort_007,code_only_v1,mapped_from_canonical,sorting_merge_sort_002
159,ag_159,sorting_merge_sort_007__naive_concat_v1,sorting_merge_sort_007,naive_concat_v1,direct_adjudicated,sorting_merge_sort_002
160,ag_160,sorting_merge_sort_007__full_method_v1,sorting_merge_sort_007,full_method_v1,mapped_from_canonical,sorting_merge_sort_002
161,ag_161,trees_bst_insert_004__text_only_v1,trees_bst_insert_004,text_only_v1,direct_adjudicated,trees_bst_insert_001
162,ag_162,trees_bst_insert_004__code_only_v1,trees_bst_insert_004,code_only_v1,direct_adjudicated,trees_bst_insert_001
163,ag_163,trees_bst_insert_004__naive_concat_v1,trees_bst_insert_004,naive_concat_v1,direct_adjudicated,trees_bst_insert_001
164,ag_164,trees_bst_insert_004__full_method_v1,trees_bst_insert_004,full_method_v1,mapped_from_canonical,trees_bst_insert_001
165,ag_165,trees_bst_insert_005__text_only_v1,trees_bst_insert_005,text_only_v1,direct_adjudicated,trees_bst_insert_002
166,ag_166,trees_bst_insert_005__code_only_v1,trees_bst_insert_005,code_only_v1,mapped_from_canonical,trees_bst_insert_002
167,ag_167,trees_bst_insert_005__naive_concat_v1,trees_bst_insert_005,naive_concat_v1,direct_adjudicated,trees_bst_insert_002
168,ag_168,trees_bst_insert_005__full_method_v1,trees_bst_insert_005,full_method_v1,direct_adjudicated,trees_bst_insert_002
169,ag_169,trees_bst_insert_006__text_only_v1,trees_bst_insert_006,text_only_v1,direct_adjudicated,trees_bst_insert_001
170,ag_170,trees_bst_insert_006__code_only_v1,trees_bst_insert_006,code_only_v1,mapped_from_canonical,trees_bst_insert_001
171,ag_171,trees_bst_insert_006__naive_concat_v1,trees_bst_insert_006,naive_concat_v1,direct_adjudicated,trees_bst_insert_001
172,ag_172,trees_bst_insert_006__full_method_v1,trees_bst_insert_006,full_method_v1,mapped_from_canonical,trees_bst_insert_001
173,ag_173,trees_bst_insert_007__text_only_v1,trees_bst_insert_007,text_only_v1,direct_adjudicated,trees_bst_insert_002
174,ag_174,trees_bst_insert_007__code_only_v1,trees_bst_insert_007,code_only_v1,mapped_from_canonical,trees_bst_insert_002
175,ag_175,trees_bst_insert_007__naive_concat_v1,trees_bst_insert_007,naive_concat_v1,direct_adjudicated,trees_bst_insert_002
176,ag_176,trees_bst_insert_007__full_method_v1,trees_bst_insert_007,full_method_v1,mapped_from_canonical,trees_bst_insert_002
177,ag_177,trees_lowest_common_ancestor_004__text_only_v1,trees_lowest_common_ancestor_004,text_only_v1,direct_adjudicated,trees_lowest_common_ancestor_001
178,ag_178,trees_lowest_common_ancestor_004__code_only_v1,trees_lowest_common_ancestor_004,code_only_v1,direct_adjudicated,trees_lowest_common_ancestor_001
179,ag_179,trees_lowest_common_ancestor_004__naive_concat_v1,trees_lowest_common_ancestor_004,naive_concat_v1,direct_adjudicated,trees_lowest_common_ancestor_001
180,ag_180,trees_lowest_common_ancestor_004__full_method_v1,trees_lowest_common_ancestor_004,full_method_v1,direct_adjudicated,trees_lowest_common_ancestor_001
181,ag_181,trees_lowest_common_ancestor_005__text_only_v1,trees_lowest_common_ancestor_005,text_only_v1,direct_adjudicated,trees_lowest_common_ancestor_002
182,ag_182,trees_lowest_common_ancestor_005__code_only_v1,trees_lowest_common_ancestor_005,code_only_v1,mapped_from_canonical,trees_lowest_common_ancestor_002
183,ag_183,trees_lowest_common_ancestor_005__naive_concat_v1,trees_lowest_common_ancestor_005,naive_concat_v1,direct_adjudicated,trees_lowest_common_ancestor_002
184,ag_184,trees_lowest_common_ancestor_005__full_method_v1,trees_lowest_common_ancestor_005,full_method_v1,mapped_from_canonical,trees_lowest_common_ancestor_002
185,ag_185,trees_lowest_common_ancestor_006__text_only_v1,trees_lowest_common_ancestor_006,text_only_v1,direct_adjudicated,trees_lowest_common_ancestor_001
186,ag_186,trees_lowest_common_ancestor_006__code_only_v1,trees_lowest_common_ancestor_006,code_only_v1,mapped_from_canonical,trees_lowest_common_ancestor_001
187,ag_187,trees_lowest_common_ancestor_006__naive_concat_v1,trees_lowest_common_ancestor_006,naive_concat_v1,direct_adjudicated,trees_lowest_common_ancestor_001
188,ag_188,trees_lowest_common_ancestor_006__full_method_v1,trees_lowest_common_ancestor_006,full_method_v1,mapped_from_canonical,trees_lowest_common_ancestor_001
189,ag_189,trees_lowest_common_ancestor_007__text_only_v1,trees_lowest_common_ancestor_007,text_only_v1,direct_adjudicated,trees_lowest_common_ancestor_002
190,ag_190,trees_lowest_common_ancestor_007__code_only_v1,trees_lowest_common_ancestor_007,code_only_v1,mapped_from_canonical,trees_lowest_common_ancestor_002
191,ag_191,trees_lowest_common_ancestor_007__naive_concat_v1,trees_lowest_common_ancestor_007,naive_concat_v1,direct_adjudicated,trees_lowest_common_ancestor_002
192,ag_192,trees_lowest_common_ancestor_007__full_method_v1,trees_lowest_common_ancestor_007,full_method_v1,mapped_from_canonical,trees_lowest_common_ancestor_002
