family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric,w_faithfulness,w_code_consistency,w_proof_utility,w_vacuity,w_contradiction,w_missing_critical,reliability_definition
dp_longest_common_subsequence,dp,code_only_v1,0.6966,0.0432,0.6773,0.0000,0.6773,0.7353,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,full_method_v1,0.1509,0.0627,0.1195,0.0314,0.1195,0.2136,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,naive_concat_v1,0.5851,0.0174,0.5990,0.0325,0.5712,0.5944,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
dp_longest_common_subsequence,dp,text_only_v1,0.5699,0.0014,0.5687,0.0027,0.5691,0.5710,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_bfs_shortest_path,graph,code_only_v1,0.7740,0.0000,0.7740,0.0000,0.7740,0.7740,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_bfs_shortest_path,graph,full_method_v1,0.8334,0.0813,0.7740,0.1485,0.7740,0.8928,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_bfs_shortest_path,graph,naive_concat_v1,0.6909,0.0909,0.6909,0.1660,0.6356,0.7463,6,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_bfs_shortest_path,graph,text_only_v1,0.5573,0.0197,0.5415,0.0369,0.5468,0.5731,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_dijkstra,graph,code_only_v1,0.8847,0.0000,0.8847,0.0000,0.8847,0.8847,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_dijkstra,graph,full_method_v1,0.8901,0.0000,0.8901,0.0000,0.8901,0.8901,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_dijkstra,graph,naive_concat_v1,0.8901,0.0000,0.8901,0.0000,0.8901,0.8901,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
graph_dijkstra,graph,text_only_v1,0.8901,0.0000,0.8901,0.0000,0.8901,0.8901,6,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_coin_change_canonical,greedy,code_only_v1,0.6773,0.0000,0.6773,0.0000,0.6773,0.6773,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_coin_change_canonical,greedy,full_method_v1,0.7528,0.0649,0.7528,0.1124,0.6966,0.8090,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_coin_change_canonical,greedy,naive_concat_v1,0.4738,0.1300,0.3696,0.2432,0.4043,0.5780,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_coin_change_canonical,greedy,text_only_v1,0.4432,0.1231,0.3446,0.2303,0.3774,0.5419,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_interval_scheduling,greedy,code_only_v1,0.6606,0.0000,0.6606,0.0000,0.6606,0.6606,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_interval_scheduling,greedy,full_method_v1,0.8204,0.0131,0.8204,0.0227,0.8090,0.8317,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_interval_scheduling,greedy,naive_concat_v1,0.6441,0.0744,0.5897,0.1359,0.5897,0.6984,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
greedy_interval_scheduling,greedy,text_only_v1,0.5512,0.0000,0.5512,0.0000,0.5512,0.5512,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_insertion_sort,sorting,code_only_v1,0.7095,0.0000,0.7095,0.0000,0.7095,0.7095,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_insertion_sort,sorting,full_method_v1,0.8468,0.0000,0.8468,0.0000,0.8468,0.8468,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_insertion_sort,sorting,naive_concat_v1,0.6627,0.0100,0.6547,0.0186,0.6573,0.6707,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_insertion_sort,sorting,text_only_v1,0.7573,0.0000,0.7573,0.0000,0.7573,0.7573,6,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_merge_sort,sorting,code_only_v1,0.7740,0.0000,0.7740,0.0000,0.7740,0.7740,5,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_merge_sort,sorting,full_method_v1,0.9224,0.0000,0.9224,0.0000,0.9224,0.9224,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_merge_sort,sorting,naive_concat_v1,0.7485,0.0279,0.7485,0.0509,0.7315,0.7655,6,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
sorting_merge_sort,sorting,text_only_v1,0.6715,0.0862,0.7406,0.1612,0.6255,0.7176,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_bst_insert,trees,code_only_v1,0.7449,0.0193,0.7353,0.0097,0.7353,0.7643,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_bst_insert,trees,full_method_v1,0.8998,0.0262,0.8998,0.0454,0.8771,0.9224,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_bst_insert,trees,naive_concat_v1,0.6895,0.0451,0.7256,0.0844,0.6533,0.7136,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_bst_insert,trees,text_only_v1,0.5757,0.0136,0.5648,0.0254,0.5648,0.5866,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_lowest_common_ancestor,trees,code_only_v1,0.7095,0.0000,0.7095,0.0000,0.7095,0.7095,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_lowest_common_ancestor,trees,full_method_v1,0.7212,0.0000,0.7212,0.0000,0.7212,0.7212,4,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_lowest_common_ancestor,trees,naive_concat_v1,0.6004,0.0261,0.5794,0.0489,0.5864,0.6214,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
trees_lowest_common_ancestor,trees,text_only_v1,0.5435,0.0277,0.5657,0.0518,0.5213,0.5583,7,reliability_mean,0.34,0.33,0.33,0.15,0.1,0.1,"wf*faithfulness + wc*code_consistency + wp*proof_utility - wv*vacuity_rate - wx*I(contradiction) - wm*min(1,missing/6)"
